Bahnhof_Gare_Stazione_Station;Uhrzeit;Prozentsatz
Zürich Stadelhofen;12.0;5.65697403161262
Zürich Stadelhofen;14.0;4.688088418994204
Zürich Stadelhofen;22.0;2.796586566442301
Zürich Stadelhofen;;
Zürich Hauptbahnhof;2.0;0.021207699032143923
Zürich Hauptbahnhof;7.0;6.220222862191614
Zürich Hauptbahnhof;12.0;6.241690058052894
Zürich Hauptbahnhof;16.0;8.422924695815942
Zürich Hauptbahnhof;17.0;10.738132711730222
Zürich Hauptbahnhof;22.0;2.820567730517496
Aarau;;8502113.0
Aarau;;
Baden;2.0;0.03164139802953076
Baden;6.0;3.4486150925617314
Baden;7.0;6.235497270279093
Baden;13.0;5.830213055458392
Baden;14.0;5.825544209411326
Baden;;8503504.0
Baden;;
Bellinzona;0.0;0.39025650381436156
Bellinzona;1.0;0.19603290317165706
Bellinzona;11.0;4.67114167492161
Bellinzona;15.0;7.584797234983669
Bellinzona;22.0;1.4696059791417575
Bellinzona;;8505213.0
Biel/Bienne;2.0;0.014788418047310571
Biel/Bienne;10.0;4.469014183774533
Biel/Bienne;15.0;6.421771617860353
Biel/Bienne;17.0;10.327768717055273
Biel/Bienne;18.0;7.435198660634243
Biel/Bienne;21.0;3.108158236073106
Bern;11.0;5.149211134533218
Bern;13.0;5.605468300831877
Bern;16.0;9.416640112662364
Bern;17.0;10.700138178081687
Bern;21.0;2.99896808747588
Basel SBB;5.0;1.3119135971649574
Basel SBB;9.0;4.704295421008428
Basel SBB;13.0;5.60385285028601
Basel SBB;18.0;7.7739952445236185
Chur;2.0;0.0449036097081086
Chur;4.0;0.22785642165466113
Chur;7.0;7.8849283714678515
Chur;9.0;5.110501146606598
Chur;11.0;6.491919941228688
Fribourg/Freiburg;1.0;0.02283071931978351
Fribourg/Freiburg;2.0;0.00011978341720767844
Fribourg/Freiburg;16.0;12.256670468991606
Fribourg/Freiburg;20.0;3.869914729778792
Genève;9.0;5.020611393565932
Genève;10.0;4.452114961940535
Genève;11.0;5.2932473131131585
Genève;;8501008.0
Genève-Aéroport;1.0;0.15386247415159843
Genève-Aéroport;4.0;0.8344825548417222
Genève-Aéroport;7.0;3.782893286851017
Genève-Aéroport;10.0;6.353138694687812
Genève-Aéroport;14.0;6.423695324787679
Genève-Aéroport;15.0;6.36431847652706
Genève-Aéroport;22.0;3.0264754478330937
Genève-Aéroport;23.0;2.2115526672837826
Genève-Eaux-Vives;6.0;2.566351832930445
Genève-Eaux-Vives;11.0;4.434479351588118
Genève-Eaux-Vives;14.0;4.722975142158938
Genève-Eaux-Vives;15.0;5.661260791105884
Genève-Eaux-Vives;19.0;6.6416187428444085
Genève-Eaux-Vives;20.0;3.6561564092828784
Genève-Eaux-Vives;;8516273.0
Lugano;0.0;0.31940947544593945
Lugano;2.0;0.03883713893864719
Lugano;14.0;5.318674451992965
Lugano;19.0;4.769176972458795
Lugano;21.0;2.623263827883697
Lausanne;1.0;0.16119731669446138
Lausanne;4.0;0.19419389435671142
Lausanne;6.0;3.341267845669892
Lausanne;8.0;7.928325803333096
Luzern;5.0;0.8497189529023893
Luzern;15.0;6.946566207558893
Luzern;;8505000.0
Neuchâtel;10.0;4.091214409147998
Neuchâtel;12.0;5.921905739870714
Neuchâtel;13.0;4.857231533209187
Neuchâtel;15.0;5.9343525792587375
Neuchâtel;22.0;2.052011693591004
Neuchâtel;;8504221.0
Olten;5.0;2.1834443915144806
Olten;6.0;6.998763030529726
Olten;15.0;5.701906274550376
Olten;18.0;7.663565905574207
Olten;20.0;3.37067359127027
Olten;;
St. Gallen;1.0;0.09672102918347031
St. Gallen;4.0;0.27402612767206064
St. Gallen;6.0;4.515744893198658
St. Gallen;15.0;6.389692169358904
St. Gallen;20.0;3.438925157595998
Thun;3.0;0.01681920238077842
Thun;9.0;4.741853791583373
Thun;10.0;4.485888369850584
Thun;15.0;6.125925116614266
Thun;18.0;7.17107693314135
Thun;21.0;2.376501038813165
Thun;;
Uster;0.0;0.35347166412726005
Uster;4.0;0.057782047546901784
Uster;5.0;0.8519705466024369
Uster;11.0;4.878506808913481
Uster;13.0;5.275429428597049
Winterthur;3.0;0.019227234618592673
Winterthur;6.0;4.145323168346357
Winterthur;14.0;5.030488964536895
Winterthur;17.0;11.269358163285673
Winterthur;18.0;8.190679633072168
Winterthur;20.0;3.4903054314088773
Zürich Altstetten;1.0;0.04959027743082486
Zürich Altstetten;3.0;0.035535062053341185
Zürich Altstetten;6.0;4.2698295325519355
Zürich Altstetten;9.0;4.050023351943404
Zürich Altstetten;10.0;3.0283164193547676
Zürich Altstetten;17.0;11.721151250230244
Zürich Enge;2.0;0.028822043550280202
Zürich Enge;3.0;0.07007251588542837
Zürich Enge;8.0;9.114238575366665
Zürich Enge;17.0;10.283827385580482
Zürich Enge;19.0;4.390589312836403
Zürich Enge;23.0;1.2291763086250005
Zug;2.0;0.0712813286792377
Zug;7.0;7.1700360170045325
Zug;17.0;9.932510971991487
Zug;19.0;5.252369268414365
Zug;;
Zürich Hardbrücke;1.0;0.034239806676544506
Zürich Hardbrücke;19.0;4.808794947816184
Zürich Oerlikon;0.0;0.38455155368442423
Zürich Oerlikon;9.0;4.431671283155223
Zürich Oerlikon;11.0;4.2455693025341885
Zürich Oerlikon;14.0;4.37918458570587
Zürich Oerlikon;16.0;8.412616009419969
Zürich Oerlikon;;
Zürich Stadelhofen;0.0;0.1764309438947529
Zürich Stadelhofen;1.0;0.03252577195061102
Zürich Stadelhofen;7.0;9.548918828494573
Zürich Stadelhofen;11.0;4.1509318183791475
Zürich Stadelhofen;20.0;3.3765800136014406
Zürich Stadelhofen;21.0;3.075574913263483
Zürich Stadelhofen;;8503003.0
Zürich Hauptbahnhof;6.0;2.6333323815160665
Zürich Hauptbahnhof;11.0;4.806745607246557
Aarau;2.0;0.017097714615711725
Aarau;4.0;0.1507893598394636
Aarau;5.0;1.1987738759199102
Aarau;7.0;9.459405257378416
Aarau;10.0;4.075512962134548
Aarau;11.0;5.1612741163725095
Aarau;12.0;6.846140827869091
Aarau;17.0;10.399329352120422
Baden;0.0;0.3094681427607448
Baden;4.0;0.06830974462493188
Baden;8.0;5.3506394596138405
Baden;15.0;6.591829546444242
Baden;19.0;5.368612152067087
Baden;23.0;1.2701288243406472
Bellinzona;4.0;0.3950310521546532
Bellinzona;10.0;4.247463332725207
Bellinzona;12.0;5.729935463183961
Bellinzona;23.0;1.0431885539501347
Biel/Bienne;3.0;0.011338611496140294
Biel/Bienne;22.0;2.382956966445376
Bern;5.0;0.6866755432593842
Bern;6.0;3.485527720616561
Bern;7.0;7.506599287886724
Bern;14.0;5.611441791319293
Bern;15.0;6.604302488751894
Bern;19.0;5.143883534336072
Bern;;
Basel SBB;2.0;0.08931166034794116
Basel SBB;16.0;8.585230180417028
Basel SBB;19.0;5.119731495123898
Basel SBB;23.0;1.326321151208249
Chur;13.0;6.704290297750992
Chur;20.0;2.708257680151568
Chur;;8509000.0
Chur;;
Fribourg/Freiburg;3.0;0.004707488296261763
Fribourg/Freiburg;9.0;3.6310067041580774
Fribourg/Freiburg;10.0;3.8868760616554
Fribourg/Freiburg;14.0;5.373831467846357
Fribourg/Freiburg;19.0;5.376562529758692
Fribourg/Freiburg;;8504100.0
Fribourg/Freiburg;;
Genève;3.0;0.07178112173790505
Genève;12.0;6.134999878262832
Genève;22.0;2.2752422938528634
Genève-Aéroport;0.0;0.645491927354669
Genève-Aéroport;3.0;0.23241158260274816
Genève-Aéroport;17.0;7.262062708500751
Genève-Aéroport;19.0;5.641672491488011
Genève-Aéroport;20.0;3.632905953718222
Genève-Eaux-Vives;4.0;0.22144397420542714
Genève-Eaux-Vives;17.0;10.601018237683588
Genève-Eaux-Vives;18.0;9.661853028399534
Genève-Eaux-Vives;22.0;1.8142984260267763
Lugano;3.0;0.03469152769985564
Lugano;4.0;0.1576385124388736
Lugano;12.0;5.986170504120803
Lugano;20.0;3.03925946485818
Lausanne;0.0;0.5955581107557141
Lausanne;3.0;0.1490603933492906
Lausanne;5.0;0.7334740059652247
Lausanne;10.0;3.926907946039657
Lausanne;;
Luzern;1.0;0.1441431145128487
Luzern;4.0;0.1665315865329814
Luzern;10.0;4.789961027810094
Luzern;11.0;5.665180936154319
Luzern;16.0;8.60545399866152
Luzern;19.0;5.824546125673133
Luzern;22.0;2.6184549022972514
Neuchâtel;3.0;0.022573308933236117
Neuchâtel;7.0;9.28551654651711
Neuchâtel;14.0;4.6355087940675785
Neuchâtel;19.0;5.4939919857376385
Neuchâtel;23.0;1.3781119110351423
Olten;7.0;10.360807395440267
Olten;11.0;4.060767262147711
Olten;14.0;4.00695113174748
Olten;19.0;4.775810652717411
Olten;21.0;2.8367416314126577
Olten;22.0;2.184700688632728
Olten;23.0;1.3050198449467862
St. Gallen;3.0;0.058151479012307244
St. Gallen;17.0;10.70566915475017
St. Gallen;23.0;1.1321709182066155
Thun;1.0;0.02321591859118955
Thun;8.0;5.819202090458471
Thun;20.0;2.9219541590606877
Thun;23.0;0.9619654737968344
Uster;1.0;0.017634966491418293
Uster;9.0;4.728616744979934
Uster;10.0;4.53576201004864
Uster;15.0;6.326891064106463
Uster;23.0;1.40008475653806
Winterthur;1.0;0.032100084483484434
Winterthur;10.0;4.1161138814339235
Winterthur;12.0;6.067473840594024
Winterthur;19.0;4.79449666127797
Winterthur;23.0;1.2975146509588662
Winterthur;;
Zürich Altstetten;2.0;0.026446988770085767
Zürich Altstetten;12.0;7.521678938077183
Zürich Altstetten;13.0;4.816597696613916
Zürich Altstetten;14.0;3.6138885697888097
Zürich Altstetten;19.0;4.819014614062332
Zürich Altstetten;22.0;2.44389187001134
Zürich Altstetten;23.0;1.2637985990224987
Zürich Enge;6.0;2.529302802759581
Zürich Enge;15.0;5.51928812216785
Zürich Enge;;8503010.0
Zug;0.0;0.28399563734361355
Zug;3.0;0.0504939514314917
Zug;4.0;0.13773525695497038
Zug;15.0;6.21172150615418
Zug;20.0;3.5733468649416835
Zug;22.0;2.260924472792049
Zürich Hardbrücke;0.0;0.360941387782456
Zürich Hardbrücke;10.0;2.5590094133022347
Zürich Hardbrücke;17.0;12.811132464104787
Zürich Hardbrücke;21.0;2.9351650359459627
Zürich Oerlikon;2.0;0.023368187307593925
Zürich Oerlikon;3.0;0.025442692563807323
Zürich Oerlikon;6.0;3.870293016152339
Zürich Oerlikon;7.0;8.330698768806847
Zürich Oerlikon;12.0;6.063192516145137
Zürich Oerlikon;17.0;11.473711389342462
Zürich Oerlikon;19.0;5.554907867964085
Zürich Stadelhofen;2.0;0.035769351698382884
Zürich Stadelhofen;8.0;8.226190606332123
Zürich Stadelhofen;9.0;4.803062299179787
Zürich Stadelhofen;15.0;5.613813276966125
Zürich Stadelhofen;16.0;8.483112713676439
Zürich Stadelhofen;17.0;11.290860613481044
Zürich Stadelhofen;18.0;8.517599929136104
Zürich Hauptbahnhof;0.0;0.4091436184312842
Zürich Hauptbahnhof;8.0;6.380726091072178
Zürich Hauptbahnhof;9.0;4.67333463667178
Zürich Hauptbahnhof;13.0;5.557293318225027
Zürich Hauptbahnhof;18.0;8.759482216406028
